Totes,Real,,,
CS 4500,,,,
08/23/2024,19:00,19:54,1,0
08/23/2024,19:54,19:55,1,2
08/27/2024,18:07,18:37,1,0
09/05/2024,17:50,18:08,1,0
09/05/2024,18:09,18:10,1,2
09/05/2024,18:11,18:33,1,0
09/05/2024,18:34,18:37,1,2
09/10/2024,18:16,18:24,1,C
09/10/2024,18:56,18:59,1,2
09/16/2024,19:00,19:10,1,6
09/17/2024,19:02,19:35,1,0
09/17/2024,19:36,19:39,1,2
09/20/2024,16:10,16:15,1,6
09/20/2024,17:05,17:21,1,2
09/21/2024,13:40,16:09,1,6
09/21/2024,19:43,22:30,1,6
09/22/2024,09:10,11:06,1,6
09/24/2024,18:00,18:20,1,0
09/24/2024,18:21,18:24,1,2
09/24/2024,20:38,21:14,1,7
09/25/2024,18:34,21:08,1,7
09/26/2024,18:25,18:40,1,7
09/26/2024,20:36,23:59,1,7
09/27/2024,17:00,23:00,1,7
09/27/2024,23:01,23:20,1,3
09/27/2024,23:21,23:26,1,2
09/29/2024,18:30,18:49,1,0
10/01/2024,17:55,18:00,1,3
10/01/2024,18:01,18:13,1,2
10/04/2024,17:00,17:16,1,B
10/04/2024,17:17,17:23,1,2
10/08/2024,18:30,18:39,1,3
10/08/2024,18:40,18:54,1,2
10/12/2024,12:00,14:00,1,6
10/15/2024,18:55,19:01,1,2
10/15/2024,19:02,19:15,1,B
10/15/2024,19:16,19:17,1,2
10/22/2024,17:09,17:16,1,2
10/29/2024,18:00,18:14,1,3
10/29/2024,18:15,18:20,1,2
11/01/2024,19:57,20:04,1,2
11/05/2024,17:50,17:55,1,2
11/05/2024,17:56,18:09,1,3
11/05/2024,18:10,18:17,1,2
11/08/2024,17:44,17:51,1,2
11/12/2024,18:36,18:43,1,2
11/15/2024,17:00,20:00,6,4
11/15/2024,20:30,20:33,1,2
11/15/2024,20:34,20:40,1,2
11/15/2024,20:41,20:56,1,3
11/15/2024,20:57,21:30,1,5
11/17/2024,18:00,18:55,4,4
11/19/2024,19:37,19:41,1,2
11/19/2024,20:40,21:10,1,3
11/22/2024,22:41,22:48,1,2
11/30/2024,17:30,19:30,1,7
12/01/2024,14:00,15:30,1,7
12/01/2024,17:00,18:29,1,7
12/01/2024,18:30,19:05,4,4
12/01/2024,20:05,23:59,1,7
12/02/2024,00:00,00:46,1,7
12/02/2024,17:30,18:29,1,7
12/02/2024,18:30,21:46,4,4
